status_tag,Cuisine,Ingredients,image,Url
3,韓式雞肉湯（飯）,chicken;salt;pepper;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/247116/large_ba72eeb45f936aa9.jpg,https://icook.tw/recipes/247116
3,蛤蠣鮮味蔥雞湯~感冒必備,chicken;pepper;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/237441/large_ea576ced0e0ac76e.jpg,https://icook.tw/recipes/237441
6,牛肉羅宋湯,soy sauce;onion;beef;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/234605/large_c3c9604e6332324f.jpg,https://icook.tw/recipes/234605
6,酸辣湯,soy sauce,https://tokyo-kitchen.icook.network/uploads/recipe/cover/212682/large_234b9320645a1318.jpg,https://icook.tw/recipes/212682
0,[大同電鍋]金針排骨湯,salt;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/125371/large_491d3faf0dbd3686.jpg,https://icook.tw/recipes/125371
3,洋蔥雞肉湯,pepper;water;chicken;onion;salt,https://tokyo-kitchen.icook.network/uploads/recipe/cover/115252/large_47e3380a43d2520a.jpg,https://icook.tw/recipes/115252
0,洋蔥清湯,onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/115187/large_a23ef80abe30321b.jpg,https://icook.tw/recipes/115187
6,焦糖滷味 ,chicken;soy sauce;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/76648/large_98c850bb7e9b2ebc.jpg,https://icook.tw/recipes/76648
0,簡易台灣滷肉燥,pork;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/62535/large_f3f4d5e84d3e55a5.jpg,https://icook.tw/recipes/62535
2,日式炸豬排,pork;egg;flour,https://tokyo-kitchen.icook.network/uploads/recipe/cover/281224/large_1e6051c22aa1e404.jpg,https://icook.tw/recipes/281224
6,蒜香雞塊,chicken;soy sauce;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/271161/large_a895ed73ee8f8cbc.jpg,https://icook.tw/recipes/271161
2,日式炸雞《雞胸不柴分享》,chicken;oil;egg,https://tokyo-kitchen.icook.network/uploads/recipe/cover/230620/large_83d4e1abb38b3e5a.jpg,https://icook.tw/recipes/230620
2,豬排控🐷的3分鐘日式炸豬排【酥炸訣竅】,salt;pork;egg;flour,https://tokyo-kitchen.icook.network/uploads/recipe/cover/215247/large_d53a9828c4661e21.jpg,https://icook.tw/recipes/215247
0,洋蔥圈,onion;egg;flour,https://tokyo-kitchen.icook.network/uploads/recipe/cover/203295/large_7f1df2956c601f07.jpg,https://icook.tw/recipes/203295
7,♥ 超juicy炸雞(作法也很簡單),egg;water;soy sauce;chicken;sugar;flour,https://tokyo-kitchen.icook.network/uploads/recipe/cover/201295/large_ce530164e4216331.jpg,https://icook.tw/recipes/201295
7,日式炸蛋豆腐,egg;soy sauce;sugar;flour;onion;fish,https://tokyo-kitchen.icook.network/uploads/recipe/cover/149835/large_60325b00c6629ecd.jpg,https://icook.tw/recipes/149835
2,起司烤炸雞,chicken;salt;flour;egg,https://tokyo-kitchen.icook.network/uploads/recipe/cover/124084/large_a3b2d4d68b35d2a6.jpg,https://icook.tw/recipes/124084
3,無油煙鹽酥雞之烤箱炸雞塊,pepper;egg;chicken;flour;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/97731/large_bd63459a9285403a.jpg,https://icook.tw/recipes/97731
2,日式炸豬排,salt;pork;egg,https://tokyo-kitchen.icook.network/uploads/recipe/cover/90776/large_9fcc088ac46679b0.jpg,https://icook.tw/recipes/90776
6,氣炸雞腿,chicken;sugar;soy sauce,https://tokyo-kitchen.icook.network/uploads/recipe/cover/29723/large_a5d018e35afc9713.jpg,https://icook.tw/recipes/29723
6,ㄚ曼達的廚房~炸雞塊(氣炸鍋),water;soy sauce;chicken;flour;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/17865/large_55c1881cca54bf7a.jpg,https://icook.tw/recipes/17865
3,炸雞腿排,chicken;salt;pepper;soy sauce,https://tokyo-kitchen.icook.network/uploads/recipe/cover/17585/large_2219f0f1ea100f4a.jpg,https://icook.tw/recipes/17585
2,酥炸起司條,flour;egg,https://tokyo-kitchen.icook.network/uploads/recipe/cover/14951/large_19513bab24b4721c.jpg,https://icook.tw/recipes/14951
3,一上桌就搶光：一口大小雞肉串小丸子,pepper;egg;chicken;onion;flour;salt,https://tokyo-kitchen.icook.network/uploads/recipe/cover/248825/large_41f65366456f4096.jpg,https://icook.tw/recipes/248825
3,在家就能烤出好味道~牛肋串燒,pepper;onion;beef,https://tokyo-kitchen.icook.network/uploads/recipe/cover/97199/large_933c401abf1bb42e.jpg,https://icook.tw/recipes/97199
0,焗烤意大利麵,onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/119119/large_47b1adbc5c2f4838.jpg,https://icook.tw/recipes/119119
